Date of data download: 2015-08-20

These data have been downloaded from the Everglades Depth Estimation Network (EDEN) database through the Explore and View EDEN (EVE) web application. The attached README file provides a brief description of the data. For additional info about EDEN: http://sofia.usgs.gov/eden

Date,CP Daily median water Level(feet NAVD88),CP Water level data type (O=observed; E=estimated; H=hindcasted; D=dry; M=missing),Water level quality flag (F=final; P=provisional; R=real-time)
2011-05-23,-1.6,D,F
2011-05-24,-1.64,D,F
2011-05-25,-1.69,D,F
2011-05-26,-1.7,D,F
2011-05-27,-1.71,D,F
2011-05-28,-1.74,D,F
2011-05-29,-1.76,D,F
2011-05-30,-1.8,D,F
2011-05-31,-1.82,D,F
2011-06-01,-1.83,D,F
2011-06-02,-1.85,D,F
2011-06-03,-1.87,D,F
2011-06-04,-1.89,D,F
2011-06-05,-1.9,D,F
2011-06-06,-1.91,D,F
2011-06-07,-1.92,D,F
2011-06-08,-1.93,D,F
2011-06-09,-1.94,D,F
2011-06-10,-1.95,D,F
2011-06-11,-1.95,D,F
2011-06-12,-1.96,D,F
2011-06-13,-1.96,D,F
2011-06-14,-1.97,D,F
2011-06-15,-1.98,D,F
2011-06-16,-1.98,D,F
2011-06-17,-1.98,D,F
2011-06-18,-1.99,D,F
2011-06-19,-1.99,D,F
2011-06-20,-1.99,D,F
2011-06-21,-1.9,D,F
2011-06-22,-1.93,D,F
2011-06-23,-1.93,D,F
2011-06-24,-1.94,D,F
2011-06-25,-1.94,D,F
2011-06-26,-1.94,D,F
2011-06-27,-1.95,D,F
2011-06-28,-1.92,D,F
2011-06-29,-1.62,D,F
2011-06-30,-1.54,O,F
2011-07-01,-1.53,O,F
2011-07-02,-1.48,O,F
2011-07-03,-1.46,O,F
2011-07-04,-1.41,O,F
2011-07-05,-1.38,O,F
2011-07-06,-1.31,O,F
2011-07-07,-1.17,O,F
2011-07-08,-0.68,O,F
2011-07-09,-0.58,O,F
2011-07-10,-0.53,O,F
2011-07-11,-0.41,O,F
2011-07-12,-0.38,O,F
2011-07-13,-0.38,O,F
2011-07-14,-0.38,O,F
2011-07-15,-0.37,O,F
2011-07-16,-0.26,O,F
2011-07-17,-0.26,O,F
2011-07-18,-0.19,O,F
2011-07-19,-0.16,O,F
2011-07-20,-0.09,O,F
2011-07-21,-0.09,O,F
2011-07-22,-0.09,O,F
2011-07-23,-0.1,O,F
2011-07-24,-0.1,O,F
2011-07-25,-0.11,O,F
2011-07-26,-0.13,O,F
2011-07-27,-0.15,O,F
2011-07-28,-0.16,O,F
2011-07-29,-0.17,O,F
2011-07-30,-0.18,O,F
2011-07-31,-0.2,O,F
2011-08-01,-0.21,O,F
2011-08-02,-0.17,O,F
2011-08-03,-0.15,O,F
2011-08-04,-0.14,O,F
2011-08-05,-0.16,O,F
2011-08-06,-0.16,O,F
2011-08-07,-0.14,O,F
2011-08-08,-0.12,O,F
2011-08-09,-0.11,O,F
2011-08-10,-0.1,O,F
2011-08-11,-0.1,O,F
2011-08-12,-0.08,O,F
2011-08-13,-0.08,O,F
2011-08-14,-0.06,O,F
2011-08-15,-0.03,O,F
2011-08-16,0.02,O,F
2011-08-17,-0.02,O,F
2011-08-18,-0.02,O,F
2011-08-19,-0.02,O,F
2011-08-20,-0.01,O,F
2011-08-21,0,O,F
2011-08-22,0.01,O,F
2011-08-23,0.03,O,F
2011-08-24,0.05,O,F
2011-08-25,0.07,O,F
2011-08-26,0.06,O,F
2011-08-27,0.05,O,F
2011-08-28,0.08,O,F
2011-08-29,0.11,O,F
2011-08-30,0.18,O,F
2011-08-31,0.28,O,F
2011-09-01,0.31,O,F
2011-09-02,0.32,O,F
2011-09-03,0.32,O,F
2011-09-04,0.32,O,F
2011-09-05,0.29,O,F
2011-09-06,0.28,O,F
2011-09-07,0.26,O,F
2011-09-08,0.23,O,F
2011-09-09,0.22,O,F
2011-09-10,0.2,O,F
2011-09-11,0.18,O,F
2011-09-12,0.17,O,F
2011-09-13,0.2,O,F
2011-09-14,0.2,O,F
2011-09-15,0.19,O,F
2011-09-16,0.18,O,F
2011-09-17,0.16,O,F
2011-09-18,0.15,O,F
2011-09-19,0.13,O,F
2011-09-20,0.12,O,F
2011-09-21,0.1,O,F
2011-09-22,0.1,O,F
2011-09-23,0.11,O,F
2011-09-24,0.16,O,F
2011-09-25,0.19,O,F
2011-09-26,0.3,O,F
2011-09-27,0.39,O,F
2011-09-28,0.39,O,F
2011-09-29,0.39,O,F
2011-09-30,0.38,O,F
2011-10-01,0.38,O,F
2011-10-02,0.37,O,F
2011-10-03,0.35,O,F
2011-10-04,0.32,O,F
2011-10-05,0.3,O,F
2011-10-06,0.27,O,F
2011-10-07,0.25,O,F
2011-10-08,0.24,O,F
2011-10-09,0.24,O,F
2011-10-10,0.24,O,F
2011-10-11,0.22,O,F
2011-10-12,0.2,O,F
2011-10-13,0.2,O,F
2011-10-14,0.2,O,F
2011-10-15,0.2,O,F
2011-10-16,0.27,O,F
2011-10-17,0.47,O,F
2011-10-18,0.56,O,F
2011-10-19,0.6,O,F
2011-10-20,0.65,O,F
2011-10-21,0.65,O,F
2011-10-22,0.64,O,F
2011-10-23,0.61,O,F
2011-10-24,0.57,O,F
2011-10-25,0.53,O,F
2011-10-26,0.48,O,F
2011-10-27,0.46,O,F
2011-10-28,0.44,O,F
2011-10-29,0.43,O,F
2011-10-30,0.49,O,F
2011-10-31,0.48,O,F
2011-11-01,0.47,O,F
2011-11-02,0.47,O,F
2011-11-03,0.44,O,F
2011-11-04,0.42,O,F
2011-11-05,0.39,O,F
2011-11-06,0.37,O,F
2011-11-07,0.34,O,F
2011-11-08,0.31,O,F
2011-11-09,0.28,O,F
2011-11-10,0.28,O,F
2011-11-11,0.26,O,F
2011-11-12,0.24,O,F
2011-11-13,0.22,O,F
2011-11-14,0.21,O,F
2011-11-15,0.15,O,F
2011-11-16,0.14,O,F
2011-11-17,0.14,O,F
2011-11-18,0.15,O,F
2011-11-19,0.14,O,F
2011-11-20,0.14,O,F
2011-11-21,0.14,O,F
2011-11-22,0.14,O,F
2011-11-23,0.14,O,F
2011-11-24,0.14,O,F
2011-11-25,0.09,O,F
2011-11-26,0.06,O,F
2011-11-27,0.05,O,F
2011-11-28,0.04,O,F
2011-11-29,0.03,O,F
2011-11-30,0.02,O,F
2011-12-01,0.01,O,F
2011-12-02,-0.01,O,F
2011-12-03,-0.01,O,F
2011-12-04,-0.05,O,F
2011-12-05,-0.05,O,F
2011-12-06,-0.05,O,F
2011-12-07,-0.08,O,F
2011-12-08,-0.12,O,F
2011-12-09,-0.11,O,F
2011-12-10,-0.11,O,F
2011-12-11,-0.11,O,F
2011-12-12,-0.11,O,F
2011-12-13,-0.11,O,F
2011-12-14,-0.12,O,F
2011-12-15,-0.12,O,F
2011-12-16,-0.12,O,F
2011-12-17,-0.17,O,F
2011-12-18,-0.17,O,F
2011-12-19,-0.18,O,F
2011-12-20,-0.18,O,F
2011-12-21,-0.18,O,F
2011-12-22,-0.22,O,F
2011-12-23,-0.21,O,F
2011-12-24,-0.21,O,F
2011-12-25,-0.22,O,F
2011-12-26,-0.22,O,F
2011-12-27,-0.22,O,F
2011-12-28,-0.22,O,F
2011-12-29,-0.29,O,F
2011-12-30,-0.29,O,F
2011-12-31,-0.29,O,F
2012-01-01,-0.29,O,F
2012-01-02,-0.29,O,F
2012-01-03,-0.29,O,F
2012-01-04,-0.33,O,F
2012-01-05,-0.34,O,F
2012-01-06,-0.34,O,F
2012-01-07,-0.35,O,F
2012-01-08,-0.38,O,F
2012-01-09,-0.38,O,F
2012-01-10,-0.38,O,F
2012-01-11,-0.38,O,F
2012-01-12,-0.41,O,F
2012-01-13,-0.41,O,F
2012-01-14,-0.41,O,F
2012-01-15,-0.42,O,F
2012-01-16,-0.42,O,F
2012-01-17,-0.41,O,F
2012-01-18,-0.41,O,F
2012-01-19,-0.41,O,F
2012-01-20,-0.41,O,F
2012-01-21,-0.47,O,F
2012-01-22,-0.47,O,F
2012-01-23,-0.46,O,F
2012-01-24,-0.46,O,F
2012-01-25,-0.46,O,F
2012-01-26,-0.51,O,F
2012-01-27,-0.51,O,F
2012-01-28,-0.51,O,F
2012-01-29,-0.51,O,F
2012-01-30,-0.51,O,F
2012-01-31,-0.51,O,F
2012-02-01,-0.52,O,F
2012-02-02,-0.52,O,F
2012-02-03,-0.52,O,F
2012-02-04,-0.52,O,F
2012-02-05,-0.52,O,F
2012-02-06,-0.51,O,F
2012-02-07,-0.52,O,F
2012-02-08,-0.51,O,F
2012-02-09,-0.51,O,F
2012-02-10,-0.5,O,F
2012-02-11,-0.47,E,F
2012-02-12,-0.48,E,F
2012-02-13,-0.49,E,F
2012-02-14,-0.49,E,F
2012-02-15,-0.49,E,F
2012-02-16,-0.5,E,F
2012-02-17,-0.5,E,F
2012-02-18,-0.51,E,F
2012-02-19,-0.52,O,F
2012-02-20,-0.52,O,F
2012-02-21,-0.52,O,F
2012-02-22,-0.57,O,F
2012-02-23,-0.57,O,F
2012-02-24,-0.57,O,F
2012-02-25,-0.57,O,F
2012-02-26,-0.57,O,F
2012-02-27,-0.57,O,F
2012-02-28,-0.57,O,F
2012-02-29,-0.57,O,F
2012-03-01,-0.64,O,F
2012-03-02,-0.64,O,F
2012-03-03,-0.64,O,F
2012-03-04,-0.64,O,F
2012-03-05,-0.64,O,F
2012-03-06,-0.64,O,F
2012-03-07,-0.69,O,F
2012-03-08,-0.69,O,F
2012-03-09,-0.69,O,F
2012-03-10,-0.69,O,F
2012-03-11,-0.74,O,F
2012-03-12,-0.74,O,F
2012-03-13,-0.74,O,F
2012-03-14,-0.74,O,F
2012-03-15,-0.77,O,F
2012-03-16,-0.78,O,F
2012-03-17,-0.78,O,F
2012-03-18,-0.78,O,F
2012-03-19,-0.78,O,F
2012-03-20,-0.78,O,F
2012-03-21,-0.83,O,F
2012-03-22,-0.83,O,F
2012-03-23,-0.83,O,F
2012-03-24,-0.87,O,F
2012-03-25,-0.87,O,F
2012-03-26,-0.88,O,F
2012-03-27,-0.91,O,F
2012-03-28,-0.92,O,F
2012-03-29,-0.96,O,F
2012-03-30,-0.96,O,F
2012-03-31,-0.99,O,F
2012-04-01,-0.99,O,F
2012-04-02,-1.04,O,F
2012-04-03,-1.05,O,F
2012-04-04,-1.05,O,F
2012-04-05,-1.05,O,F
2012-04-06,-1.05,O,F
2012-04-07,-1.05,O,F
2012-04-08,-1.07,O,F
2012-04-09,-1.09,O,F
2012-04-10,-1.11,O,F
2012-04-11,-1.14,O,F
2012-04-12,-1.16,O,F
2012-04-13,-1.19,O,F
2012-04-14,-1.2,O,F
2012-04-15,-1.22,O,F
2012-04-16,-1.24,O,F
2012-04-17,-1.27,O,F
2012-04-18,-1.3,O,F
2012-04-19,-1.32,O,F
2012-04-20,-1.34,O,F
2012-04-21,-0.98,O,F
2012-04-22,-0.91,O,F
2012-04-23,-0.87,O,F
2012-04-24,-0.87,O,F
2012-04-25,-0.9,O,F
2012-04-26,-0.92,O,F
2012-04-27,-0.93,O,F
2012-04-28,-0.92,O,F
2012-04-29,-0.78,O,F
2012-04-30,-0.66,O,F
2012-05-01,-0.47,O,F
2012-05-02,-0.4,O,F
2012-05-03,-0.34,O,F
2012-05-04,-0.29,O,F
2012-05-05,-0.25,O,F
2012-05-06,-0.25,O,F
2012-05-07,-0.25,O,F
2012-05-08,-0.25,O,F
2012-05-09,-0.25,O,F
2012-05-10,-0.22,O,F
2012-05-11,-0.23,O,F
2012-05-12,-0.28,O,F
2012-05-13,-0.29,O,F
2012-05-14,-0.28,O,F
2012-05-15,-0.28,O,F
2012-05-16,-0.27,O,F
2012-05-17,-0.04,O,F
2012-05-18,-0.05,O,F
2012-05-19,-0.05,O,F
2012-05-20,-0.04,O,F
2012-05-21,-0.04,O,F
2012-05-22,-0.05,O,F
2012-05-23,-0.07,O,F
2012-05-24,0.34,O,F
2012-05-25,0.33,O,F
2012-05-26,0.29,O,F
2012-05-27,0.31,O,F
2012-05-28,0.25,O,F
2012-05-29,0.24,O,F
2012-05-30,0.25,O,F
2012-05-31,0.39,O,F
2012-06-01,0.44,O,F
2012-06-02,0.47,O,F
2012-06-03,0.46,O,F
2012-06-04,0.43,O,F
2012-06-05,0.39,O,F
2012-06-06,0.35,O,F
2012-06-07,0.33,O,F
2012-06-08,0.3,O,F
2012-06-09,0.29,O,F
2012-06-10,0.25,O,F
2012-06-11,0.23,O,F
2012-06-12,0.22,O,F
2012-06-13,0.19,O,F
2012-06-14,0.18,O,F
2012-06-15,0.15,O,F
2012-06-16,0.22,O,F
2012-06-17,0.2,O,F
2012-06-18,0.16,O,F
2012-06-19,0.14,O,F
2012-06-20,0.33,O,F
2012-06-21,0.33,O,F
2012-06-22,0.39,O,F
2012-06-23,0.43,O,F
2012-06-24,0.43,O,F
2012-06-25,0.45,O,F
2012-06-26,0.52,O,F
2012-06-27,0.69,O,F
2012-06-28,0.71,O,F
2012-06-29,0.68,O,F
2012-06-30,0.63,O,F
2012-07-01,0.57,O,F
2012-07-02,0.53,O,F
2012-07-03,0.49,O,F
2012-07-04,0.44,O,F
2012-07-05,0.42,O,F
2012-07-06,0.39,O,F
2012-07-07,0.36,O,F
2012-07-08,0.35,O,F
2012-07-09,0.35,O,F
2012-07-10,0.33,O,F
2012-07-11,0.38,O,F
2012-07-12,0.38,O,F
2012-07-13,0.37,O,F
2012-07-14,0.34,O,F
2012-07-15,0.39,O,F
2012-07-16,0.39,O,F
2012-07-17,0.5,O,F
2012-07-18,0.61,O,F
2012-07-19,0.56,O,F
2012-07-20,0.53,O,F
2012-07-21,0.48,O,F
2012-07-22,0.5,O,F
2012-07-23,0.51,O,F
2012-07-24,0.49,O,F
2012-07-25,0.48,O,F
2012-07-26,0.44,O,F
2012-07-27,0.42,O,F
2012-07-28,0.41,O,F
2012-07-29,0.39,O,F
2012-07-30,0.37,O,F
2012-07-31,0.38,O,F
2012-08-01,0.36,O,F
2012-08-02,0.35,O,F
2012-08-03,0.33,O,F
2012-08-04,0.41,O,F
2012-08-05,0.39,O,F
2012-08-06,0.37,O,F
2012-08-07,0.35,O,F
2012-08-08,0.35,O,F
2012-08-09,0.32,O,F
2012-08-10,0.3,O,F
2012-08-11,0.41,O,F
2012-08-12,0.41,O,F
2012-08-13,0.39,O,F
2012-08-14,0.37,O,F
2012-08-15,0.34,O,F
2012-08-16,0.33,O,F
2012-08-17,0.33,O,F
2012-08-18,0.33,O,F
2012-08-19,0.31,O,F
2012-08-20,0.29,O,F
2012-08-21,0.27,O,F
2012-08-22,0.25,O,F
2012-08-23,0.23,O,F
2012-08-24,0.23,O,F
2012-08-25,0.43,O,F
2012-08-26,0.46,O,F
2012-08-27,0.36,O,F
2012-08-28,0.52,O,F
2012-08-29,0.54,O,F
2012-08-30,0.53,O,F
2012-08-31,0.51,O,F
2012-09-01,0.49,O,F
2012-09-02,0.47,O,F
2012-09-03,0.46,O,F
2012-09-04,0.45,O,F
2012-09-05,0.43,O,F
2012-09-06,0.43,O,F
2012-09-07,0.42,O,F
2012-09-08,0.4,O,F
2012-09-09,0.38,O,F
2012-09-10,0.37,O,F
2012-09-11,0.35,O,F
2012-09-12,0.36,O,F
2012-09-13,0.35,O,F
2012-09-14,0.34,O,F
2012-09-15,0.33,O,F
2012-09-16,0.39,O,F
2012-09-17,0.37,O,F
2012-09-18,0.36,O,F
2012-09-19,0.35,O,F
2012-09-20,0.34,O,F
2012-09-21,0.33,O,F
2012-09-22,0.34,O,F
2012-09-23,0.35,O,F
2012-09-24,0.35,O,F
2012-09-25,0.34,O,F
2012-09-26,0.33,O,F
2012-09-27,0.33,O,F
2012-09-28,0.37,O,F
2012-09-29,0.35,O,F
2012-09-30,0.33,O,F
2012-10-01,0.33,O,F
2012-10-02,0.33,O,F
2012-10-03,0.4,O,F
2012-10-04,0.39,O,F
2012-10-05,0.38,O,F
2012-10-06,0.38,O,F
2012-10-07,0.39,O,F
2012-10-08,0.47,O,F
2012-10-09,0.47,O,F
2012-10-10,0.48,O,F
2012-10-11,0.47,O,F
2012-10-12,0.45,O,F
2012-10-13,0.43,O,F
2012-10-14,0.4,O,F
2012-10-15,0.39,O,F
2012-10-16,0.39,O,F
2012-10-17,0.42,O,F
2012-10-18,0.41,O,F
2012-10-19,0.4,O,F
2012-10-20,0.41,O,F
2012-10-21,0.4,O,F
2012-10-22,0.38,O,F
2012-10-23,0.36,O,F
2012-10-24,0.35,O,F
2012-10-25,0.41,O,F
2012-10-26,0.52,O,F
2012-10-27,0.5,O,F
2012-10-28,0.46,O,F
2012-10-29,0.46,O,F
2012-10-30,0.47,O,F
2012-10-31,0.49,O,F
2012-11-01,0.52,O,F
2012-11-02,0.52,O,F
2012-11-03,0.52,O,F
2012-11-04,0.51,O,F
2012-11-05,0.5,O,F
2012-11-06,0.48,O,F
2012-11-07,0.48,O,F
2012-11-08,0.46,O,F
2012-11-09,0.43,O,F
2012-11-10,0.4,O,F
2012-11-11,0.35,O,F
2012-11-12,0.34,O,F
2012-11-13,0.34,O,F
2012-11-14,0.32,O,F
2012-11-15,0.32,O,F
2012-11-16,0.31,O,F
2012-11-17,0.29,O,F
2012-11-18,0.27,O,F
2012-11-19,0.26,O,F
2012-11-20,0.25,O,F
2012-11-21,0.23,O,F
2012-11-22,0.22,O,F
2012-11-23,0.2,O,F
2012-11-24,0.19,O,F
2012-11-25,0.18,O,F
2012-11-26,0.16,O,F
2012-11-27,0.16,O,F
2012-11-28,0.18,O,F
2012-11-29,0.18,O,F
2012-11-30,0.18,O,F
2012-12-01,0.18,O,F
2012-12-02,0.16,O,F
2012-12-03,0.15,O,F
2012-12-04,0.14,O,F
2012-12-05,0.13,O,F
2012-12-06,0.13,O,F
2012-12-07,0.12,O,F
2012-12-08,0.11,O,F
2012-12-09,0.11,O,F
2012-12-10,0.09,O,F
2012-12-11,0.08,O,F
2012-12-12,0.07,O,F
2012-12-13,0.08,O,F
2012-12-14,0.09,O,F
2012-12-15,0.07,O,F
2012-12-16,0.05,O,F
2012-12-17,0.04,O,F
2012-12-18,0.04,O,F
2012-12-19,0.04,O,F
2012-12-20,0.01,O,F
2012-12-21,0.04,O,F
2012-12-22,0.03,O,F
2012-12-23,-0.01,O,F
2012-12-24,-0.03,O,F
2012-12-25,-0.03,O,F
2012-12-26,-0.04,O,F
2012-12-27,-0.03,O,F
2012-12-28,-0.05,O,F
2012-12-29,-0.05,O,F
2012-12-30,-0.04,O,F
2012-12-31,-0.08,O,F
